Data;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31
01/08/2021;150,23;147,23;138,32;132,45;129,54;126,65;123,77;120,9;120,9;118,05;118,05;115,22;123,77;141,27;171,59;222,94;289,83;335,07;341,69;328,49;305,75;286,67;271,06;255,72;240,65;220,03;196,78;174,69;162,35;153,24;147,23
01/07/2021;474,75;493,22;500,67;474,75;431,3;385,7;341,69;302,55;274,16;252,68;237,67;225,87;214,25;202,82;196,78;193,58;193,58;193,58;190,41;190,41;190,41;184,08;174,69;165,42;156,26;147,23;147,23;147,23;150,23;153,24;150,23
01/06/2021;126,65;120,9;120,9;123,77;120,9;115,22;106,81;98,56;106,81;123,77;138,32;156,26;165,42;165,42;156,26;144,24;132,45;123,77;132,45;205,66;264,89;283,53;331,77;375,4;385,7;378,83;355,06;365,19;449,25;474,75;
01/05/2021;109,6;104,04;101,29;98,56;98,56;98,56;98,56;101,29;101,29;101,29;106,81;120,9;129,54;132,45;138,32;153,24;177,81;187,24;184,08;174,69;162,35;156,26;153,24;153,24;153,24;165,42;165,42;162,35;162,35;144,24;132,45
01/04/2021;345,02;351,71;338,38;312,2;280,4;255,72;231,75;211,37;199,99;190,41;180,94;174,69;168,5;159,3;156,26;147,23;141,27;138,32;135,38;135,38;135,38;132,45;129,54;126,65;120,9;120,9;118,05;118,05;115,22;112,4;
01/03/2021;217,13;222,94;271,06;375,4;511,9;612,4;660,59;676,9;689,21;681;600,52;561,46;573,1;542,24;530,8;523,22;508,15;467,42;378,83;361,8;328,49;302,55;283,53;277,27;302,55;312,2;312,2;321,94;331,77;328,49;331,77
01/02/2021;1676,58;1655,03;1585,6;1490,97;1377,76;1257,42;1126,13;999,36;872,89;747,56;640,38;542,24;456,49;396,09;371,99;375,4;365,19;348,36;345,02;331,77;305,75;274,16;246,64;228,8;234,7;228,8;222,94;214,25;;;
01/01/2021;351,71;348,36;335,07;335,07;348,36;365,19;355,06;351,71;345,02;318,68;315,44;355,06;365,19;341,69;312,2;296,17;289,83;280,4;289,83;378,83;768,74;1013,21;1088,09;1174,24;1292,17;1387,94;1439,17;1465;1490,97;1559,13;1644,29
01/12/2020;252,68;261,82;289,83;338,38;378,83;515,67;620,35;718,2;768,74;785,81;773;743,34;701,59;660,59;628,34;620,35;600,52;580,89;604,47;644,4;756,01;773;718,2;660,59;596,58;538,42;482,11;427,74;378,83;361,8;348,36
01/11/2020;104,04;101,29;98,56;109,6;123,77;123,77;115,22;106,81;101,29;98,56;98,56;106,81;112,4;123,77;168,5;214,25;222,94;214,25;211,37;205,66;202,82;208,51;217,13;220,03;211,37;199,99;184,08;174,69;208,51;240,65;
01/10/2020;150,23;156,26;165,42;165,42;159,3;150,23;135,38;132,45;138,32;150,23;165,42;180,94;199,99;208,51;208,51;193,58;174,69;159,3;147,23;135,38;123,77;112,4;106,81;101,29;95,84;93,14;90,46;87,79;90,46;95,84;104,04
01/09/2020;573,1;482,11;385,7;318,68;277,27;255,72;237,67;222,94;211,37;202,82;193,58;184,08;177,81;168,5;159,3;150,23;147,23;147,23;147,23;141,27;138,32;132,45;129,54;123,77;120,9;118,05;112,4;115,22;123,77;138,32;
01/08/2020;165,42;168,5;174,69;174,69;168,5;159,3;150,23;141,27;135,38;129,54;123,77;118,05;138,32;202,82;274,16;385,7;467,42;580,89;756,01;881,74;895,08;890,63;886,18;868,47;846,47;811,64;777,26;743,34;709,88;676,9;632,34
01/07/2020;280,4;331,77;331,77;318,68;280,4;308,97;312,2;312,2;318,68;318,68;312,2;299,35;280,4;264,89;255,72;249,66;243,64;243,64;240,65;231,75;220,03;214,25;202,82;190,41;177,81;168,5;159,3;156,26;153,24;156,26;162,35
01/06/2020;67,18;64,7;62,23;62,23;64,7;77,33;98,56;129,54;171,59;296,17;493,22;781,53;829;811,64;798,7;751,78;612,4;553,75;449,25;368,59;308,97;264,89;252,68;240,65;228,8;217,13;205,66;217,13;225,87;231,75;
01/05/2020;64,7;64,7;62,23;62,23;59,79;59,79;57,38;54,98;54,98;54,98;54,98;54,98;54,98;57,38;59,79;59,79;59,79;59,79;59,79;59,79;59,79;72,21;90,46;101,29;95,84;90,46;90,46;87,79;85,15;77,33;69,69
01/04/2020;79,92;79,92;77,33;77,33;77,33;77,33;79,92;79,92;79,92;79,92;77,33;79,92;85,15;87,79;85,15;82,52;79,92;77,33;77,33;77,33;77,33;72,21;69,69;67,18;64,7;64,7;64,7;64,7;64,7;64,7;
01/03/2020;438,45;396,09;335,07;286,67;249,66;217,13;187,24;168,5;156,26;147,23;141,27;132,45;123,77;115,22;109,6;106,81;101,29;104,04;104,04;104,04;104,04;106,81;112,4;112,4;104,04;98,56;93,14;87,79;85,15;85,15;82,52
01/02/2020;277,27;289,83;299,35;312,2;315,44;318,68;321,94;328,49;338,38;351,71;375,4;403,06;427,74;442,04;452,87;445,64;434,87;406,56;378,83;345,02;318,68;299,35;283,53;274,16;267,97;271,06;286,67;392,62;434,87;;
01/01/2020;302,55;289,83;296,17;312,2;331,77;355,06;371,99;389,16;396,09;403,06;424,19;449,25;478,42;508,15;519,44;527;527;511,9;489,51;463,77;434,87;417,11;403,06;385,7;361,8;328,49;299,35;277,27;261,82;261,82;267,97
